ORIGIN_AIRPORT_ID,Description,Sum(PASSENGERS)
11481,"Panama City, FL: Northwest Florida Beaches International",43325
14689,"Santa Barbara, CA: Santa Barbara Municipal",43199
16257,"Calgary, Canada: Yyc Calgary International",43044
11637,"Fargo, ND: Hector International",42978
13256,"Mission/McAllen/Edinburg, TX: McAllen International",42728
12323,"Wilmington, NC: Wilmington International",42469
12016,"Guam, TT: Guam International",42362
14489,"Bend/Redmond, OR: Roberts Field",41967
10785,"Burlington, VT: Burlington International",41926
10868,"Columbia, SC: Columbia Metropolitan",41753
12448,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",40733
10408,"Appleton, WI: Appleton International",39388
11868,"Grand Cayman, Cayman Islands: Owen Roberts International",37697
14681,"San Pedro Sula, Honduras: Ramon Villeda Morales International",37228
13296,"Manchester, NH: Manchester Boston Regional",37193
11630,"Fairbanks, AK: Fairbanks International",36989
11915,"Rio de Janeiro, Brazil: Galeao Antonio Carlos Jobim International",35535
10980,"Chattanooga, TN: Lovell Field",35309
12896,"Lubbock, TX: Lubbock Preston Smith International",35204
14314,"Provo, UT: Provo Municipal",34848
14286,"Panama City, Panama: Tocumen International",34607
11651,"Rome, Italy: Fiumicino",34413
13518,"Munich, Germany: Muenchen",34002
13264,"Medford, OR: Rogue Valley International - Medford",33967
14252,"Pasco/Kennewick/Richland, WA: Tri Cities",33739
13218,"Medellin, Colombia: Jose Maria Cordova",33418
10158,"Atlantic City, NJ: Atlantic City International",33174
13514,"Monterrey, Mexico: Monterrey International",32776
10732,"Aguadilla, PR: Rafael Hernandez",32591
12244,"New Haven, CT: Tweed New Haven",32241
15249,"Tallahassee, FL: Tallahassee International",31901
10620,"Billings, MT: Billings Logan International",31699
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",31547
13502,"Montrose/Delta, CO: Montrose Regional",31184
14696,"South Bend, IN: South Bend International",31169
10244,"Auckland, New Zealand: Auckland International",30825
14717,"Santiago, Chile: Arturo Merino Benitez International",30452
11823,"Fort Wayne, IN: Fort Wayne International",29724
11164,"Cartagena, Colombia: Rafael Nunez",29530
11648,"Kalispell, MT: Glacier Park International",29177
11973,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",28577
13486,"Missoula, MT: Missoula Montana",28299
10517,"Barcelona, Spain: Barcelona Airport",28235
10752,"Brussels, Belgium: Brussels National",27757
15356,"Trenton, NJ: Trenton Mercer",27553
15027,"Christiansted, VI: Henry E. Rohlsen",27114
10874,"Akron, OH: Akron-Canton Regional",26965
10781,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",26553
10279,"Amarillo, TX: Rick Husband Amarillo International",26189
11140,"Corpus Christi, TX: Corpus Christi International",26058
14309,"Shanghai, China: Pudong",25520
11244,"Cozumel, Mexico: Cozumel International",25194
11252,"Daytona Beach, FL: Daytona Beach International",24887
11977,"Green Bay, WI: Green Bay Austin Straubel International",24750
14004,"Everett, WA: Snohomish County",24722
11435,"Dublin, Ireland: Dublin Airport",24265
12143,"Hong Kong, Hong Kong: Hong Kong International",24064
14108,"Peoria, IL: General Downing - Peoria International",24047
14574,"Roanoke, VA: Roanoke Blacksburg Regional",23476
13367,"Moline, IL: Quad Cities International",23195
15455,"Quito, Ecuador: Old Mariscal Sucre International",23176
10575,"Barbados/Bridgetown, Barbados: Grantley Adams International",22958
15513,"St. Lucia, Saint Lucia: Hewanorra International",22925
11721,"Flint, MI: Bishop International",22864
14207,"Puerto Plata, Dominican Republic: Gregorio Luperon International",22819
14457,"Rapid City, SD: Rapid City Regional",22741
14698,"San Luis Obispo, CA: San Luis County Regional",22551
